Testing ... solver = mg, smoother = 1, preconditioner = 0
Testing ... solver = mg, smoother = 1, preconditioner = 1
Testing ... solver = mg, smoother = 1, preconditioner = 2
Testing ... solver = mg, smoother = 1, preconditioner = 3
Testing ... solver = mg, smoother = 2, preconditioner = 0
Testing ... solver = mg, smoother = 2, preconditioner = 1
Testing ... solver = mg, smoother = 2, preconditioner = 2
Testing ... solver = mg, smoother = 2, preconditioner = 3
Testing ... solver = mg, smoother = 3, preconditioner = 0
Testing ... solver = mg, smoother = 3, preconditioner = 1
Testing ... solver = mg, smoother = 3, preconditioner = 2
Testing ... solver = mg, smoother = 3, preconditioner = 3
Testing ... solver = mg, smoother = 4, preconditioner = 0
Testing ... solver = mg, smoother = 4, preconditioner = 1
Testing ... solver = mg, smoother = 4, preconditioner = 2
Testing ... solver = mg, smoother = 4, preconditioner = 3
Testing ... solver = mg, smoother = 6, preconditioner = 0
Testing ... solver = mg, smoother = 6, preconditioner = 1
Testing ... solver = mg, smoother = 6, preconditioner = 2
Testing ... solver = mg, smoother = 6, preconditioner = 3
Testing ... solver = mg, smoother = 7, preconditioner = 0
Testing ... solver = mg, smoother = 7, preconditioner = 1
Testing ... solver = mg, smoother = 7, preconditioner = 2
Testing ... solver = mg, smoother = 7, preconditioner = 3
Testing ... solver = mg, smoother = 8, preconditioner = 0
Testing ... solver = mg, smoother = 8, preconditioner = 1
Testing ... solver = mg, smoother = 8, preconditioner = 2
Testing ... solver = mg, smoother = 8, preconditioner = 3
Testing ... solver = mg, smoother = 9, preconditioner = 0
Testing ... solver = mg, smoother = 9, preconditioner = 1
Testing ... solver = mg, smoother = 9, preconditioner = 2
Testing ... solver = mg, smoother = 9, preconditioner = 3
Testing ... solver = mg, smoother = 10, preconditioner = 0
Testing ... solver = mg, smoother = 10, preconditioner = 1
Testing ... solver = mg, smoother = 10, preconditioner = 2
Testing ... solver = mg, smoother = 10, preconditioner = 3
Testing ... solver = mg, smoother = 11, preconditioner = 0
Testing ... solver = mg, smoother = 11, preconditioner = 1
Testing ... solver = mg, smoother = 11, preconditioner = 2
Testing ... solver = mg, smoother = 11, preconditioner = 3
Testing ... solver = mg, smoother = 12, preconditioner = 0
Testing ... solver = mg, smoother = 12, preconditioner = 1
Testing ... solver = mg, smoother = 12, preconditioner = 2
Testing ... solver = mg, smoother = 12, preconditioner = 3
Testing ... solver = mgpcg, smoother = 1, preconditioner = 0
Testing ... solver = mgpcg, smoother = 1, preconditioner = 1
Testing ... solver = mgpcg, smoother = 1, preconditioner = 2
Testing ... solver = mgpcg, smoother = 1, preconditioner = 3
Testing ... solver = mgpcg, smoother = 2, preconditioner = 0
Testing ... solver = mgpcg, smoother = 2, preconditioner = 1
Testing ... solver = mgpcg, smoother = 2, preconditioner = 2
Testing ... solver = mgpcg, smoother = 2, preconditioner = 3
Testing ... solver = mgpcg, smoother = 3, preconditioner = 0
Testing ... solver = mgpcg, smoother = 3, preconditioner = 1
Testing ... solver = mgpcg, smoother = 3, preconditioner = 2
Testing ... solver = mgpcg, smoother = 3, preconditioner = 3
Testing ... solver = mgpcg, smoother = 4, preconditioner = 0
Testing ... solver = mgpcg, smoother = 4, preconditioner = 1
Testing ... solver = mgpcg, smoother = 4, preconditioner = 2
Testing ... solver = mgpcg, smoother = 4, preconditioner = 3
Testing ... solver = mgpcg, smoother = 6, preconditioner = 0
Testing ... solver = mgpcg, smoother = 6, preconditioner = 1
Testing ... solver = mgpcg, smoother = 6, preconditioner = 2
Testing ... solver = mgpcg, smoother = 6, preconditioner = 3
Testing ... solver = mgpcg, smoother = 7, preconditioner = 0
Testing ... solver = mgpcg, smoother = 7, preconditioner = 1
Testing ... solver = mgpcg, smoother = 7, preconditioner = 2
Testing ... solver = mgpcg, smoother = 7, preconditioner = 3
Testing ... solver = mgpcg, smoother = 8, preconditioner = 0
Testing ... solver = mgpcg, smoother = 8, preconditioner = 1
Testing ... solver = mgpcg, smoother = 8, preconditioner = 2
Testing ... solver = mgpcg, smoother = 8, preconditioner = 3
Testing ... solver = mgpcg, smoother = 9, preconditioner = 0
Testing ... solver = mgpcg, smoother = 9, preconditioner = 1
Testing ... solver = mgpcg, smoother = 9, preconditioner = 2
Testing ... solver = mgpcg, smoother = 9, preconditioner = 3
Testing ... solver = mgpcg, smoother = 10, preconditioner = 0
Testing ... solver = mgpcg, smoother = 10, preconditioner = 1
Testing ... solver = mgpcg, smoother = 10, preconditioner = 2
Testing ... solver = mgpcg, smoother = 10, preconditioner = 3
Testing ... solver = mgpcg, smoother = 11, preconditioner = 0
Testing ... solver = mgpcg, smoother = 11, preconditioner = 1
Testing ... solver = mgpcg, smoother = 11, preconditioner = 2
